frame,trace_ms,gather_ms,net_wall_ms,net_gpu_ms,net_commit_ms,net_wait_ms,demod_ms,present_ms,total_ms
240,11.0219,2.0724,12.6227,11.9493,0.0059,12.5978,0.2439,0.0747,26.0355
241,9.7755,1.7728,0.0244,7.9424,0.0060,0.0013,0.1628,0.0727,11.8083
242,12.4708,1.8367,3.7145,5.5935,0.0037,3.6874,0.2422,0.0718,18.3360
243,16.6593,1.8584,0.0633,6.9970,0.0070,0.0052,0.2028,0.0738,18.8576
244,10.7676,2.1143,12.2162,11.7743,0.0088,12.1724,0.3610,0.0840,25.5432
245,10.8212,1.7798,0.0240,7.7030,0.0053,0.0018,0.1806,0.1035,12.9091
246,8.8820,1.8075,13.2757,8.0131,0.0061,13.2430,0.2520,0.0794,24.2965
247,9.6507,1.7746,0.0279,6.6180,0.0058,0.0016,0.1915,0.0766,11.7213
248,9.5895,1.8964,4.5690,5.6525,0.0053,4.5496,0.2133,0.0727,16.3409
249,16.8233,1.8075,0.0267,7.6764,0.0056,0.0014,0.1725,0.0690,18.8989
250,13.4232,1.8688,9.0777,5.4243,0.0044,9.0543,0.2573,0.0675,24.6946
251,12.4490,1.7015,0.0215,6.7400,0.0047,0.0017,0.1398,0.0854,14.3972
252,14.2668,2.0057,5.4231,5.5165,0.0092,5.3894,0.2487,0.0770,22.0213
253,14.7658,1.7740,0.0217,6.5326,0.0051,0.0009,0.2237,0.0691,16.8544
254,10.4535,1.7856,11.0879,11.3306,0.0059,11.0654,0.2995,0.0682,23.6948
255,12.1161,1.7035,0.0214,7.9001,0.0050,0.0011,0.1628,0.0659,14.0697
256,10.5095,1.8236,12.9454,5.6298,0.0061,12.9247,0.2620,0.0851,25.6255
257,9.2782,1.7506,0.0218,8.5641,0.0050,0.0013,0.1513,0.0708,11.2728
258,8.0707,1.8772,10.8085,5.3679,0.0076,10.7850,0.2847,0.0815,21.1225
259,10.2170,1.7204,0.0210,6.5370,0.0043,0.0015,0.1394,0.0799,12.1776
260,12.8166,1.8529,2.9323,5.1738,0.0044,2.9095,0.2071,0.0722,17.8811
261,17.7465,1.9084,0.0417,7.4960,0.0058,0.0020,0.1981,0.0775,19.9722
262,9.3785,1.9203,10.9223,10.3695,0.0056,10.8993,0.3012,0.0845,22.6068
263,12.0449,1.7416,0.0307,9.1502,0.0069,0.0015,0.2215,0.0861,14.1248
264,9.8800,1.9318,3.6521,5.5483,0.0081,3.6245,0.2566,0.1035,15.8240
265,16.2884,1.8264,0.0284,6.5475,0.0053,0.0012,0.1668,0.0779,18.3880
266,16.2078,1.8822,3.2084,5.3939,0.0077,3.1834,0.2646,0.0952,21.6581
267,15.7977,1.7243,0.0187,5.6565,0.0040,0.0014,0.1392,0.0971,17.7770
